text,user
Biden makes diplomatic concession to Russia with Nato talks plan https://t.co/o9bdESXqsF,t_gordau
RT @lavern_spicer: Why does Joe Biden want to defend Ukraine’s borders but not our own?,JazzJT
@MattWalshBlog We’re not going to war. It’s intended to distract from our domestic problems. Biden administration a… https://t.co/v2xih4DDmR,TonySteel60
@mehdirhasan Right Wingers sabotaging Biden’s recovery efforts by any means necessary. They understand that their R… https://t.co/1s45Mz9GWg,arg7822
"Another Boop Pants in
Den failure. WOO WOO! LET'S GO BRANDON! https://t.co/YasiWvNFbJ",BangkokBucks
"RT @NoahBookbinder: The Trump administration consistently attacked and undermined inspectors general, the government's internal watchdogs.…",catinouye
"RT @Kanew: The ONE requirement for any Republican running for office is a commitment to saying Biden stole the election, and to helping Tru…",marklp227
"RT @OccupyDemocrats: BREAKING: The United Kingdom, Australia, and Canada have now all joined the United States in our diplomatic boycott of…",norezisitingme
"RT @EvacOurAllies: The Biden admin must TAKE ACTION to protect at-risk Afghans:

➡️generously &amp; efficiently process apps for protection bef…",htripp89
"@Cornpopsoldlady a Biden/Harris sign, perhaps?",adiamit1975
RT @BillPascrell: Say it with me: Biden Boom https://t.co/bJnA4YnWaB,1712moro
"RT @Jim_Jordan: President Obama gave Ukraine blankets. 

President Trump gave Ukraine tank-busting Javelin missiles. 

President Biden wave…",vrvzps
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,TheConnieBearr
RT @What46HasDone: Major Climate EO alert! President Biden signed today an Executive Order directing the federal government towards a zero…,VELO_2000M
"RT @pilitobar46: .@POTUS signed EO to use gov't scale &amp; procurement power to achieve 5 ambitious goals:
✅100% carbon pollution-free electri…",bfurnas
RT @ICIJorg: The Biden administration announced a sweeping plan against financial corruption ahead of a congressional hearing today on the…,Rafaelpinov
"RT @CNN: President Joe Biden has confronted escalating tensions with China and Russia, testing his ability to manage antagonistic leaders a…",victorres345
"RT @SXMUrbanView: 10 things you may not know of that are in the Democrats' Build Back Better bill

@claycane #ClayNation 

https://t.co/2Cd…",HVlovespolitics
"RT @BenjaminNorton: Biden keeps Trump's crushing sanctions yet blames Iran for nuclear deal impasse

Important analysis by @s_m_marandi, wi…",aaronjmate
RT @StellaMoris1: #DemocracySummit: Hosted by the country that plotted to kill #Assange after he published true information which embarrass…,Patience_2424
"RT @MarshaBlackburn: If Joe Biden packs the Supreme Court, the left will use it to rubber stamp their agenda — starting with the illegal va…",Yiwu35350148
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",Marcie_Sim
"RT @11tulips: Trying to understand this:  
The House approved  *$24 Billion More* than what Biden requested.",nazuzuwin
"@PamKeithFL @AnonSnark It will take a long time and there will be a lot of broken hearts on the left.

But eventual… https://t.co/snVZvyylPH",robertnorton_
"RT @ACTBrigitte: The ""President"" of the United States of America did not travel to Pearl Harbor on the 80th Anniversary. 

Joe Biden is so…",AliciaLee1256
"@SenTedCruz God forbid the President of the US, does everything possible to save lives. Meanwhile GOP WANTS to kill… https://t.co/zmqnDZdKCj",Maggie35231308
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/lf7hn7IHSS,dailyjournalmo
"RT @RNCResearch: REPORTER: “Other than your meeting with Kamala Harris In June?”

GUATEMALAN PRESIDENT: “That’s the only one”

REPORTER: “T…",beamstx
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",fullofshitzu
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/Ea7SnoqT6V,CTelegram
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/BbPFL4N0Td,dhnews
"@DiazCanelB @JosefinaVidalF Do not push and corner them on the wall, President Biden.",NicanorSantos13
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/oM47lULZfL,twinfallstn
WASHINGTON (AP) — President Joe Biden on Wednesday signed an executive order to make the federal government carbon-… https://t.co/jjEEGz9kAb,LG_Regionalnews
"RT @BryanLowry3: ""In Missouri and around the country, things are worse now than before you took office,"" writes Schmitt, who sought to over…",1SnoozyQ
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,VinnysTake
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/5cK5wUh3Fx,gtnews
RT @EvacOurAllies: AND the Biden admin must immediately establish a special parole program for Afghan nationals - with an accompanying plan…,htripp89
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/G6YPc5eSK2,OWHnews
"RT @BBCWorld: Sending US troops to Ukraine in event of Russian invasion is ""not on the table"", President Joe Biden says

 https://t.co/xvq6…",AikenCountyDems
President Joe Biden on Wednesday signed an executive order to make the federal government carbon-neutral by 2050. https://t.co/fFYBpZA8Af,TheTandD
"RT @nytimes: Breaking News: President Biden ordered that federal vehicles and buildings begin transitioning to renewable energy, with the g…",FaccioTommaso
RT @LarrySabato: Biden critics fail to consider the advantages of having a 79-year old President.,realStevenWalk
"RT @DanielTurnerPTF: In 2019, the United States became a net exporter of energy under Donald J. Trump.

In 2021, the United States began be…",MissMaryBLouise
"RT @amlivemon: Biden just took off sanctions on NS2, Russian elite and others but now there are ""economic consequences""?

This is a joke. V…",FLMomNYGirl
@MeghanMcCain Biden's first year has been very productive for Americans. That you think differently is because you are part of a cult.,Dotsmom
RT @SenWhitehouse: The Biden Administration’s strategy sets a solid framework for American leadership in the battle against kleptocracy &amp; c…,iamLucretiaMott
@fjp_org @miriamkrinsky @DARollins @DARollins is the type of criminal justice leader we need. Kudos to President Bi… https://t.co/55ZPpQgDE6,john_hummel
"TSXV: $REE.V | Demand exceeds current supply for Biden's proposed #electricvehicle goals. @Forbes says ""To meet eve… https://t.co/eRNZi3OfdY",etech_resources
RT @IlhanMN: Why are we selling weapons to one of the worst human rights abusers in the world? https://t.co/UnIMNWiAYU,sarahleah1
The reckless Cadiz water project would drain the California desert of scarce groundwater for profit. This decision… https://t.co/gRApRTMb43,NPCA
RT @mtracey: Biden says US ground troops to Ukraine is “off the table”? I’m outraged. I hate when completely insane ideas are taken off the…,OiseauDeGuerre
@maddow And it has a good chance of getting the people that the Biden administration left behind who are now trying… https://t.co/fBdSmDAaUg,canyoureadthist
"RT @seditiontrack: ""I’m on my way to Washington DC. to make sure Biden doesn’t become president."" He brought bear spray with him (and used…",Terryg1979
RT @jessbrandt: My latest for @BrookingsInst #TechStream lays out how the Biden administration can make its internet freedom agenda a succe…,BrookingsFP
RT @PolitiFact: A photo of Jeffrey Epstein and Joe Biden that’s being shared online is not authentic — it was created using two separate ph…,DaddyDeyo
"Why is Russia preparing to invade Ukraine during the Biden administration, but never dared try it when its blackmai… https://t.co/iSuI27v3xg",mail_american
"The Biden Administration is hosting, in upcoming days, a ""Summit for Democracy,"" a virtual event in which 110 natio… https://t.co/omQSHh0cKl",cnsnews
Secretary of State Antony Blinken will confront a number of daunting global challenges as he embarks this week on a… https://t.co/TJ5ROLO1wn,starsandstripes
"🇺🇸 President Biden has said sending U.S troops to Ukraine in the event of Russian invasion is “not on the table.”

Source: @BBCWorld",___Politics____
"RT @GregAbbott_TX: BREAKING:

A federal court in Georgia has entered a nationwide injunction against the federal-contractor vaccine mandate…",SeaTurchin
"RT @business: President Joe Biden plans to direct federal agencies to spend billions on electric cars, clean electricity and upgraded build…",matteo_casaro
Biden warns Putin that 'Russia will face a world of hurt' if Ukraine inv... https://t.co/XzheE3f28T via @YouTube,Ashley24706243
President Joe Biden signed an executive order that aims to make the United States’ government carbon-neutral by 205… https://t.co/qn1hY2cUQP,KATUNews
"RT @SenTedCruz: America’s adversaries were emboldened by President Biden’s surrender to the Taliban.
 
Russia threatening to invade Ukraine…",CharlesTwitty14
RT @sayitnspinit: If Trump supporters are so racist then why do Biden supporters have to pay other Biden supporters to pose as Trump suppor…,MieczynskyjT
RT @EricMMatheny: Did Biden even acknowledge the 80th Anniversary of Pearl Harbor?,USAhellokitty
"RT @DanielTurnerPTF: In 2019, the United States became a net exporter of energy under Donald J. Trump.

In 2021, the United States began be…",Sarah30286321
"RT @EvacOurAllies: SOLUTION:

The Biden admin must immediately change its standard for approving Afghan #humanitarianparole applications to…",htripp89
RT @EricMMatheny: Did Biden even acknowledge the 80th Anniversary of Pearl Harbor?,TheGreatRectum
RT @Chicago1Ray: Biden's willing to go to war with Russia over Ukraine's borders while ours is wide open,katyartist
RT @Allie_Kite: .@POTUS Joe Biden is meeting with employees at @RideKCTransit ahead of a speech on federal infrastructure bill. https://t.c…,danvock
RT @nypost: White House 'working behind the scenes' with media to get positive coverage https://t.co/qDW4ZRp68I https://t.co/EDCtHgwUON,Lupitasawyer16
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",RoyIGonzalez
"RT @ChristopherJM: Zelensky: “The United States has always supported Ukraine, our sovereignty, our independence. We have had bipartisan sup…",reesean
RT @wvua23: A federal judge on Tuesday blocked the Biden Administration from enforcing a COVID-19 vaccine mandate for employees of federal…,macincrews
RT @david_darmofal: The filibuster is a rule of the Senate. Joe Biden is not a member of the Senate. He cannot eliminate the filibuster. If…,gutsywoman19
"RT @wlfbfly: BREAKING: SENATE APPROVES BIDEN'S NEW USPS BOARD NOMINEES 🇺🇲🇺🇸
BYE BYE DEJOY!!!",KSavatini
RT @nytclimate: Biden orders federal government to buy zero-emissions vehicles and electricity in goal to be carbon neutral by 2050 https:/…,JoelH_Online
Biden wants the US government to eliminate all CO2 emissions by 2050 https://t.co/DmzuCGN37Y via @Verge,_silversmith
RT @mcallaway_: Biden tricked y’all,PassportGeneral
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",CaplingerMi
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,Paul59946476
@SenTedCruz Attack President Biden anyway you want but placing Americans in harms way is disgraceful,Mortime99503656
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,kjtgp1
"RT @johhnrichards: I never hear a peep from the @GOP about the 768 billion dollar defense budget, which incidentally is 30 billion more tha…",ShawnRockk
"RT @ACLU: Student debt is a crushing burden that falls heaviest on Black communities, and especially onto Black women.

Student debt is a r…",bk52480
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",RayneNGrace
"RT @RepThomasMassie: The executive branch can’t make law. Why are so many eager to ignore this when “their guy” is President?

Biden’s OSHA…",bfitzsimmons
"RT @AmbDanFried: Just learned that Biden told Putin yesterday ""One nation can't force another nation to change its border; one national can…",RobertPszczel
"RT @HillaryClinton: Here's what's in the Build Back Better bill:

- A $35 cap on insulin
- Grants to finish college
- A year of Medicaid co…",mamaluvsdev
RT @katie_finnerty: President Biden is talking with @RideKCTransit workers right now. He should be delivering his remarks soon. https://t.c…,KSHB41
"RT @smc429: Hey, what's with all those Tweets going out, yesterday from @GOP leaders worrying about Biden being ""weak"" with Russia...
45 is…",tvn2009
"RT @kylenabecker: Biden's federal vaccine mandate is now 'blocked in all 50 states.'
https://t.co/wliU4NkZKl",maa4178
"RT @fluttershy_irl: LIBERAL my little pony

WOKEity
GENDERshy
JOE BIDEN sparkle
THEY/THEM dash
PRONOUN pie
SNOWFLAKEjack
spike

like and sh…",aka_Valekeke
"RT @Kanew: The ONE requirement for any Republican running for office is a commitment to saying Biden stole the election, and to helping Tru…",Dark____Hart
RT @mtracey: Biden says US ground troops to Ukraine is “off the table”? I’m outraged. I hate when completely insane ideas are taken off the…,storm_paglia
RT @GovPhilScott: Last week President Biden discussed his national plan to address COVID over the next couple of months. It was encouraging…,puellam4
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",JustCallMeRo013
RT @Jim_Jordan: Just introduced this resolution to subpoena the National School Boards Association and Biden Administration. https://t.co/Z…,johncrane62
"RT @ChuckRossDC: NEW @FreeBeacon 
Hunter Biden met with an exec for a Chinese state-owned oil company to discuss ""highly strategic"" African…",AddisonAve1
RT @PN_1984: Biden doesn’t have the right to decide what medical treatments you receive. Nor does your state Governor. Would you have gone…,TheLoveDoctor39
"RT @TheBeatWithAri: While the AP reported on the ""sluggish"" jobs report under President Biden, they called a similar number under Trump ""ro…",PrenomEtNumeros
RT @OccupyDemocrats: BREAKING: Jen Psaki announces that President Biden will veto any Republican resolution to remove vaccine mandates from…,AngelBe14631407
"RT @HillaryClinton: Here's what's in the Build Back Better bill:

- A $35 cap on insulin
- Grants to finish college
- A year of Medicaid co…",dancingfun
"RT @EricBoehlert: Republicans are so mad Omicron isn’t going to sink Biden

nothing like rooting for a pandemic, guys",Senor_Cartmenez
RT @jbendery: If you are a tribal leader planning on attending Biden's tribal nations summit on Monday and you think clemency for Leonard P…,Tomwinchester56
RT @glowingcanary: We could have had Bernie the whole time. No Trump. No Biden. No rapists. No racists. No classists trying to screw over t…,YearlingSnail1
Roads and bridges are so 1950s...we need a President who can see the future and make it happen. That’s not Joe Bide… https://t.co/yv3sgCpoEP,nanashton
"RT @TheBeatWithAri: While the AP reported on the ""sluggish"" jobs report under President Biden, they called a similar number under Trump ""ro…",AceandJasper
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",niassogSP
"RT @DanielTurnerPTF: In 2019, the United States became a net exporter of energy under Donald J. Trump.

In 2021, the United States began be…",ThomasN34944504
RT @MeidasTouch: Today is Trump appointees Ron Bloom's and John Barger's last day on the USPS Board Of Governors. President Biden has alrea…,Desiree_Ahgudo
"RT @JDCocchiarella: Republicans will do anything to hurt President Biden politically.

The GOP is too radical to govern.",SchmoopyWoopy
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,DuffertTim
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,wake_tfup
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",fenwayruby
"RT @charlescwcooke: What, exactly, was in it for an already-flagging Joe Biden to nominate to a marginal position an unconfirmable figure w…",ChuckRossDC
"RT @ACTforAmerica: The world is laughing at Joe Biden, Kamala Harris, and Nancy Pelosi.",trichterne1
"Today, @POTUS will sign an executive order to make the federal government #CarbonNeutral by 2050. This is a right s… https://t.co/YTb7lhnkUV",americaisallin
RT @Brick_Suit: Why does the inside of AOC's mask look like Biden's underwear? https://t.co/u3bZXx5oPV,DanielRollTide
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",apokeegan
The gigantic divide in Joe Biden's approval among white voters based on degree status continues with the latest Mar… https://t.co/KaAEFk7w5k,TheValuesVoter
RT @david_darmofal: The filibuster is a rule of the Senate. Joe Biden is not a member of the Senate. He cannot eliminate the filibuster. If…,TessfromGA
"RT @populistaaa: BREAKING: Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia…",LovingL97892278
"@GOP Trolling for trump before disintegrating! 😎

@GOP has no plans just catchy nicknames, hashtags and mottos

Bid… https://t.co/rpp8GX3Q23",grangermireille
RT @Chicago1Ray: There would be no threat of war over Ukraine if votes weren't switched from Trump to Biden around (3AM) election night,janvinjoey
"RT @ChristopherJM: Zelensky briefly commented on yesterday’s Biden-Putin call, saying, “In general, I consider it positive that the Preside…",reesean
RT @bennyjohnson: White House 'working behind the scenes' with media to get positive coverage https://t.co/KvB4JyTxBi,mixmasteranthem
@Tommy15819423 @jbizzy6969 @Anti_MagatCult @Sumbua8 @Woodcuttermark @jimaw63 @NatForTrump2024 @srasberry1… https://t.co/v0xUwZdtj0,DesnoyerRobert
"RT @AcereEleanor: I remember watching as the Trump admin began Remain in Mexico in Tijuana, nearly three years ago. 

I just found this acc…",abneyamin
RT @HeyAprill: The man (TJ) that asks Biden to take him to dinner is homeless and does not make a penny off of his voice going viral. 19 mi…,laynaverse
@SykesCharlie Every swing district that voted for the GOP down ballot and for Biden at the top of the ticket.    Th… https://t.co/6zGHtSP4jq,cabbageridge
"@bleuciel1967 @Danny1098765 We have no border, no nuclear deternet, fake elections with mail in voting vastly helpi… https://t.co/V8KZTQp57m",b48592809
"RT @RepStefanik: Numbers don’t lie – Joe Biden just had the WORST jobs report of his presidency.
 
Joe Biden and House Democrats’ FAILED po…",RayMACKAY8
"RT @fluttershy_irl: LIBERAL my little pony

WOKEity
GENDERshy
JOE BIDEN sparkle
THEY/THEM dash
PRONOUN pie
SNOWFLAKEjack
spike

like and sh…",SEAFAlRY_
"RT @StrikeDebt: Good morning. Biden's law degree cost about $1,500.",mama_maffin
RT @EricMMatheny: Did Biden even acknowledge the 80th Anniversary of Pearl Harbor?,JackieC25086132
"RT @approject: President Joe Biden nominated a far-left, woke radical named Gigi Sohn to the FCC. She doesn't believe in the first amendmen…",StandTallEurope
"RT @V_its_me888: Biden Warns Russia That If They Invade Ukraine, America Will Evacuate And Leave $86 Billion In Weapons Behind

Whether thi…",Lowcountry1Girl
"RT @ACTBrigitte: The ""President"" of the United States of America did not travel to Pearl Harbor on the 80th Anniversary. 

Joe Biden is so…",harley_gernand
"RT @RepThomasMassie: The executive branch can’t make law. Why are so many eager to ignore this when “their guy” is President?

Biden’s OSHA…",ZachBragg123
"White House says Biden 'preparing for all contingencies' if Russia invades Ukraine

https://t.co/s06zLNNBwz
Well we… https://t.co/Rx68yiQk2P",kstuck93
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",ferndog00207253
"RT @Smith_JeffreyT: Tomorrow, Dec. 9, the #SummitForDemocracy kicks off. Despite the cynicism it's a chance for global democrats to join in…",RupzBob
@krystalball @briebriejoy @marwilliamson @kthalps @SusanSarandon @ChrisLynnHedges @RealLucyLawless @rogerwaters If… https://t.co/e3XQLQzujh,regandarcy
"RT @pilitobar46: .@POTUS signed EO to use gov't scale &amp; procurement power to achieve 5 ambitious goals:
✅100% carbon pollution-free electri…",chazzValentino
RT @ThePlumLineGS: Biden advisers are struggling with how to address our own democracy problems at the summit. SecState Blinken says he wil…,WitchHistorian
"RT @Lefty_Jew: I'm probably not going to be knocking doors for Biden, but the fact lots of these people argued Trump was some anti imperial…",BeBraveMyLoves
"@mehdirhasan People who refuse to wear a mask or get vaccinated are blaming Biden for their own failures.

ht:… https://t.co/xoEDjFU8yD",ZhiZhuWeb
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",LitvinNaomi
"RT @mmpadellan: The former guy kept promising to show his health care plan for four years, and never got around to it.

In less than a year…",Chowdaddy1
"RT @RNCResearch: REPORTER: “Other than your meeting with Kamala Harris In June?”

GUATEMALAN PRESIDENT: “That’s the only one”

REPORTER: “T…",anniestrout681
"RT @FoxNews: Arizona’s Ducey calls on Biden to act after migrants rush border: ‘Mr. President, do something – do anything’

https://t.co/rL…",DonnaAguillard
"Joe Biden Says He's Trying to ""Work Out Any Accommodation"" For Vladimir Putin to Not Invade Ukraine (VIDEO)… https://t.co/bLIC6d0M0D",davidthomas38
RT @CassyWearsHeels: Every single one of Biden's COVID vaccine mandates has been shot down in court.,SaveTheseDogs
RT @PolitiFact: A photo of Jeffrey Epstein and Joe Biden that’s being shared online is not authentic — it was created using two separate ph…,pr0ud_m0m
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,sheishereeee
"RT @ighaworth: And in 2020, the economy shed over 9 million jobs, so Biden is technically still in the red.",lourdesalom
"RT @lindyli: Republicans want Putin to invade Ukraine

Ted Cruz, Josh Hawley &amp; Marco Rubio continue to block dozens of vital national secur…",bjen1234
"RT @TheOnion: ‘You Know, If I Were You, I’d Go After Finland,’ Says Biden Trying To Dissuade Putin From Invading Ukraine https://t.co/aUdJZ…",Jungle_CS
RT @IlhanMN: Why are we selling weapons to one of the worst human rights abusers in the world? https://t.co/UnIMNWiAYU,bming5
"RT @BlackVotersMtr: This week, dozens of local and national advocacy organizations will lead voting rights actions across the U.S. as part…",GiseleGiguere
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,MatthewUselding
"RT @RepThomasMassie: The executive branch can’t make law. Why are so many eager to ignore this when “their guy” is President?

Biden’s OSHA…",retrogr35664579
RT @EricMMatheny: Did Biden even acknowledge the 80th Anniversary of Pearl Harbor?,bgallagb
"RT @B52Malmet: Anything they can do to prevent public health protection in a pandemic, the death party will do it.  https://t.co/lyqvdU9yTI",FireyTopaz
RT @Leftylockdowns1: I was contacted by someone subject to the Biden mandate whose job it is to transport nuclear waste. Under this poorly…,MikeRolla2
"RT @mazemoore: Biden hardly campaigned.

He won the least amount of bellwether counties ever for a winning candidate. Got crushed in Florid…",deeclarea17
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,DarynHughes56
"@FactsVs0pinion @KCIAirport @POTUS I know Trump got it wrong too, so will Biden who has dementia.",KimberlyUsher5
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,dorothystella7
RT @BryanLowry3: Schmitt says in the letter this is Biden's first visit to one of the 25 states that went for Trump. Not accurate. Biden ha…,1SnoozyQ
"RT @WestWingReport: Biden also said that U.S. and its NATO allies ""will probably also be required to reinforce our presence in NATO countri…",kristiwelshies
RT @HeyAprill: The man (TJ) that asks Biden to take him to dinner is homeless and does not make a penny off of his voice going viral. 19 mi…,miIfadvocate
POLL ALERT: New WSJ poll finds “Hispanic voters are evenly split in their choice for Congress.” This is BIG NEWS fo… https://t.co/RkLAyqoZHi,tanyaforarizona
"@TommyD07868371 @GayeRobyn @SherylLewellen You’re just repeating lying points fed to you.
Over 60 court cases throw… https://t.co/L9JxJVMj2V",MarkAll65984731
"RT @RedWingGrips: Let me get this straight. 

Joe Biden is willing to wage war against Russia over Ukraine's border, yet he refuses to even…",janvinjoey
@FoxNews why in the world is Biden wasting taxpayer dollars stumbling around with his little table legs trying to p… https://t.co/ROiajieWwc,elaine72658
The federal government would stop buying gasoline-powered vehicles by 2035 and its buildings would be powered by wi… https://t.co/2NjXvOBdUu,SnowLakeLithium
"RT @SenTedCruz: President Biden’s vaccine mandates are illegal, unconstitutional, and an abuse of power.
 
Taking the vaccine should be a d…",willslaughter8
"RT @WSJ: Inflation has emerged as a pressing concern for American voters, with majorities saying it is causing them at least some financial…",MetusNova
”Biden said it would “depend upon what the rest of the NATO countries were willing to do as well” but rejected the… https://t.co/hVMUYpJUvD,MikaAaltola
@BDSFullDisplay @humanidee @SKUsa11 Will you still defend Biden when he gets to 20 percent?  When we go to war with… https://t.co/aVoWzZquXr,karinfish4
"@jacob_coblentz 2, Joe Biden and Ron Klain. 

Everyone else is suspect.",nilocobau
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",SpiderGuard21
"RT @Julia_In_FL: I really don't know what to do with people that don't approve of Biden at this point. GDP is up 10% (that is insane fyi),…",kwarnockny
"RT @RepStefanik: Numbers don’t lie – Joe Biden just had the WORST jobs report of his presidency.
 
Joe Biden and House Democrats’ FAILED po…",Mark_Scherer60
"RT @disclosetv: JUST IN - Russia sends warning to the U.S. Embassy in Moscow of ""dangerous consequences"" for any ""provocations near Russia'…",olayinka_joel
RT @OccupyDemocrats: BREAKING: January 6 Committee announces that it obtained a text message where Mark Meadows responded with “I love it!”…,ChuyGonzales
"RT @ChuckCallesto: BREAKING REPORT: Biden Admin Planning ‘EVACUATION OPTIONS’ for US Citizens if Russia Invades Ukraine ...

One word'  ""AF…",Fearless4Him58
"vote biden enjoyer and write in astroscove for the vp slot, that'd be pretty funny i think https://t.co/Q2aqg4OWHN",astroscove
"RT @RNCResearch: REPORTER: “Other than your meeting with Kamala Harris In June?”

GUATEMALAN PRESIDENT: “That’s the only one”

REPORTER: “T…",RoyIGonzalez
"RT @johhnrichards: I never hear a peep from the @GOP about the 768 billion dollar defense budget, which incidentally is 30 billion more tha…",ginou1010
"RT @LATiffani1: Biden’s “United States Strategy on Countering Corruption” plan is bullshit

FBI is weaponized and they won’t investigate th…",IrishRick3
"RT @TheOnion: ‘You Know, If I Were You, I’d Go After Finland,’ Says Biden Trying To Dissuade Putin From Invading Ukraine https://t.co/aUdJZ…",jmood88
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",lt90266
"RT @tedcruz: If we see tanks in the streets of Kiev, it will be because Joe Biden surrendered to Putin. https://t.co/7PJoRfQu1Q",webb_carrie
RT @EricBoehlert: “Biden has been getting worse coverage in recent months compared to Trump in 2020. This was after he’d been in office for…,Senor_Cartmenez
"RT @ACTforAmerica: The world is laughing at Joe Biden, Kamala Harris, and Nancy Pelosi.",sc4_trump47
#Biden keeps #Trump's crushing sanctions yet blames #Iran for #nuclear impasse https://t.co/fN5uSBL1w2 via @YouTube… https://t.co/sy5OsBARHw,ThePlejarens
"RT @MrAndyNgo: Protesters stand in the street in Brooklyn, New York and shout, “F— Joe Biden and De Blasio!” Video by @LeeroyPress: https:/…",rocky_hz
Elon Musk slams Biden’s Build Back Better bill and its electric car incentives https://t.co/WudcW6344R -- FUCK ELON MUSK!,fightthefluff
"RT @ReadeAlexandra: In 1993, I filed a sexual harassment complaint &amp; had meetings with my supervisors about Joe Biden’s behavior, how it ma…",thisGmatt
RT @jsolomonReports: Biden human rights record ‘makes Donald Trump appear like Mother Theresa’: Bush adviser says | Just The News https://t…,liszewsk
"RT @SenatorTimScott: President Biden's vaccine mandate means that countless firefighters, policemen, EMT, nurses, doctors, and others will…",marymarchetti7
"RT @AYAmericans: We will not accept a restart on student loan payments. 

AYA is proud to join @theSBPC and 200+ orgs in calling on @POTUS…",OldPandaDayz
"@RandiRhodes REPORT: Media Companies 'Meet In Secret' With Biden White ...(is this liberal media?)
https://t.co/N0LtCV3JXH",brandonpooped
"RT @RWMaloneMD: “However, even in times of crisis this Court must preserve the rule of law and ensure that all branches of government act w…",smsmith212
"Get ready @CenntroAuto

https://t.co/r2RecF5sdy",callinItaDay
"RT @NirvanaCraig: Venezuelan diplomat Alex Saab is still being tortured by Joe Biden after being kidnapped for purchasing humanitarian aid,…",soyfdonna
RT @Corddaryl: Biden I just got a email about my student loans. They telling me the payment pause on student loans ends at the end of Janua…,lfc1o3
@RealMelcolmX It only adds to their insanity--that they are so irrationally hawkish that they force US troops into… https://t.co/SpR0yr2Uxq,ElectionWiz
"Tucker Carlson sided with Putin over Ukraine, saying Biden is wrong to try to stop a Russian invasion… https://t.co/QFnyYNtKyl",deplorable_im
"#NeverTrump failed America @MedvedSHOW Admit your part in breaking its back by voting for Biden. 
You avoid respons… https://t.co/t5x3F66R5z",spamitall
"RT @RBReich: Last night, the House passed a $768 billion defense budget.

That's a full $30B more than Trump’s last defense budget. It’s al…",SusanLeeMuir3
"RT @jeffnesbit: The Biden WH just announced the most ambitious federal sustainability plan in US history:  24/7 carbon-free electricity, ze…",robert_kroupa
"Fuck Russia, fuck Ukraine you have enough to deal with in the fucked up U.S.A. https://t.co/VAivV7A84q",george03641870
"RT @RepThomasMassie: The executive branch can’t make law. Why are so many eager to ignore this when “their guy” is President?

Biden’s OSHA…",cyofallcy
"RT @ElectionWiz: All neocons please keep in mind, in any war with Russia, US troops would be under the command of Joe Biden and General Mil…",JaimeRodri90
